id,active,category,sortOrder,name,description,price,includesFries,meatChoiceRequired,featured,imageUrl
burger-loca,TRUE,Hamburguesas,1,Loca,"Ham patty, ham, white cheese, bacon, mayo, ketchup, mustard, lettuce, tomato, avocado.",,TRUE,FALSE,TRUE,
burger-regia,TRUE,Hamburguesas,2,Regia,"Ham patty, ham, white cheese, bacon, salami, mayo, ketchup, mustard, lettuce, tomato, avocado.",,TRUE,FALSE,TRUE,
taco-quesabirria,TRUE,Tacos,3,Quesabirria,"Order of 3 with consommé, onion, cilantro, cheese, and limes.",,FALSE,FALSE,TRUE,
taco-street,TRUE,Tacos,4,Street Tacos,"Classic street tacos with choice of meat.",,FALSE,TRUE,TRUE,
antojito-papas-locas,TRUE,Antojitos,5,Papas Locas,"French fries, nacho cheese, choice of meat, pico de gallo, sour cream, avocado.",,FALSE,TRUE,TRUE,
drink-aguas-frescas,TRUE,Drinks,6,Aguas Frescas,"Rotating fresh fruit waters.",,FALSE,FALSE,FALSE,
